,Transporteur,Gare origine,Gare origine - code UIC,Destination,Gare destination - code UIC,Classe,Profil tarifaire,Prix minimum,Prix maximum
13768,TGV INOUI,ANGERS ST LAUD,87484006,MONTPELLIER SAINT-ROCH,87773002,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
13770,TGV INOUI,CHAMBERY CHALLES LES EAUX,87741009,AEROPORT CDG2 TGV ROISSY,87271494,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
13772,TGV INOUI,ANGERS ST LAUD,87484006,LYON PART DIEU,87723197,2,Tarif Elève - Etudiant - Apprenti,24.0,24.0
13775,TGV INOUI,DOL DE BRETAGNE,87478073,PARIS MONTPARNASSE 1 ET 2,87391003,2,Tarif Elève - Etudiant - Apprenti,11.0,11.0
13776,TGV INOUI,BORDEAUX ST JEAN,87581009,AIME LA PLAGNE,87741769,2,Tarif Elève - Etudiant - Apprenti,21.0,21.0
13777,TGV INOUI,MULHOUSE VILLE,87182063,PARIS GARE DE LYON,87686006,2,Tarif Elève - Etudiant - Apprenti,13.0,13.0
13778,TGV INOUI,PARIS NORD,87271007,DOUAI,87345009,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
13782,TGV INOUI,AEROPORT CDG2 TGV ROISSY,87271494,SALLANCHES COMBLOUX MEGEVE,87746438,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
13784,TGV INOUI,BORDEAUX ST JEAN,87581009,BAYONNE,87673004,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
13786,TGV INOUI,AEROPORT CDG2 TGV ROISSY,87271494,POITIERS,87575001,2,Tarif Elève - Etudiant - Apprenti,9.0,9.0
13788,TGV INOUI,VALENCE TGV RHONE-ALPES SUD,87763029,ST PIERRE DES CORPS,87571240,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
13790,TGV INOUI,LILLE FLANDRES,87286005,AVIGNON TGV,87318964,2,Tarif Elève - Etudiant - Apprenti,18.0,18.0
13792,TGV INOUI,VENDOME VILLIERS SUR LOIR,87571216,PARIS AUSTERLITZ,87547000,2,Tarif Elève - Etudiant - Apprenti,6.0,6.0
13794,TGV INOUI,LYON-SAINT EXUPERY TGV,87762906,AEROPORT CDG2 TGV ROISSY,87271494,2,Tarif Elève - Etudiant - Apprenti,11.0,11.0
13795,TGV INOUI,PARIS MONTPARNASSE 1 ET 2,87391003,VITRE,87471508,2,Tarif Elève - Etudiant - Apprenti,9.0,9.0
13799,TGV INOUI,LE MANS,87396002,MASSY TGV,87393702,2,Tarif Elève - Etudiant - Apprenti,6.0,6.0
13808,TGV INOUI,ANGOULEME,87583005,ARCACHON,87582668,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
13809,TGV INOUI,COLMAR,87182014,MONTPELLIER SUD DE FRANCE,87688887,2,Tarif Elève - Etudiant - Apprenti,15.0,15.0
13810,TGV INOUI,LILLE EUROPE,87223263,AIME LA PLAGNE,87741769,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
13814,TGV INOUI,BORDEAUX ST JEAN,87581009,AEROPORT CDG2 TGV ROISSY,87271494,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
13815,TGV INOUI,SURGERES,87485227,PARIS MONTPARNASSE 1 ET 2,87391003,2,Tarif Elève - Etudiant - Apprenti,11.0,11.0
13816,TGV INOUI,CARCASSONNE,87615286,NIMES,87775007,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
13817,TGV INOUI,PARIS NORD,87271007,REIMS,87171009,2,Tarif Elève - Etudiant - Apprenti,4.0,4.0
13818,TGV INOUI,NIMES,87775007,AEROPORT CDG2 TGV ROISSY,87271494,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
13822,TGV INOUI,LAVAL,87478404,LILLE FLANDRES,87286005,2,Tarif Elève - Etudiant - Apprenti,13.0,13.0
13827,TGV INOUI,LE MANS,87396002,LE CROISIC,87481788,2,Tarif Elève - Etudiant - Apprenti,18.0,18.0
13828,TGV INOUI,CARCASSONNE,87615286,LYON PERRACHE,87722025,2,Tarif Elève - Etudiant - Apprenti,10.0,10.0
13830,TGV INOUI,AEROPORT CDG2 TGV ROISSY,87271494,ARRAS,87342014,2,Tarif Elève - Etudiant - Apprenti,5.0,5.0
13832,TGV INOUI,VENDOME VILLIERS SUR LOIR,87571216,ST PIERRE DES CORPS,87571240,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
13833,TGV INOUI,COLMAR,87182014,ANTIBES,87757674,2,Tarif Elève - Etudiant - Apprenti,17.0,17.0
13834,TGV INOUI,LILLE FLANDRES,87286005,LANDRY,87741777,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
13835,TGV INOUI,MASSY TGV,87393702,FACTURE BIGANOS,87582478,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
13836,TGV INOUI,NARBONNE,87781104,TOULOUSE MATABIAU,87611004,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
13837,TGV INOUI,MASSY TGV,87393702,CHAMPAGNE-ARDENNE,87171926,2,Tarif Elève - Etudiant - Apprenti,5.0,5.0
13841,TGV INOUI,ANGERS ST LAUD,87484006,CHAMPAGNE-ARDENNE,87171926,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
13842,TGV INOUI,LILLE FLANDRES,87286005,ANGOULEME,87583005,2,Tarif Elève - Etudiant - Apprenti,15.0,15.0
13843,TGV INOUI,HENDAYE,87677005,MASSY TGV,87393702,2,Tarif Elève - Etudiant - Apprenti,15.0,15.0
13844,TGV INOUI,ALBERTVILLE,87741645,ST PIERRE DES CORPS,87571240,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
13853,TGV INOUI,STRASBOURG,87212027,RENNES,87471003,2,Tarif Elève - Etudiant - Apprenti,20.0,20.0
13862,TGV INOUI,CROIX WASQUEHAL,87286716,ARRAS,87342014,2,Tarif Elève - Etudiant - Apprenti,10.0,10.0
13863,TGV INOUI,LE MANS,87396002,PORNICHET,87481747,2,Tarif Elève - Etudiant - Apprenti,18.0,18.0
